Project,Site,Coordinates,Year,Parcel,Block,N dose (kg/ha),P2O5 dose (kg/ha),K2O dose (kg/ha),Leaf N (%),Leaf P (%),Leaf K (%),Leaf Ca (%),Leaf Mg (%),Leaf Al (ppm),Leaf B (ppm),Leaf Cu (ppm),Leaf Zn (ppm),Leaf Fe (ppm),Leaf Mn (ppm),Leaf Mo (ppm),Berry yield (kg/ha),Berry dry matter_fraction,Soil NO3 (ppm),Soil NH4 (ppm),Soil P (mg/kg),Soil K (mg/kg),Soil Ca (mg/kg),Soil Mg (mg/kg),pH H2O
Frac_1,Normandin,48' 59'N 72' 32'O,2001,1,1,30,20,30,1.58,0.12,0.47,0.25,0.18,56.8,61.1,4.91,9.73,19.1,.,0.17,1591,0.07,1.14,2.59,61,116,278,30,4.56
Frac_1,Normandin,48' 59'N 72' 32'O,2001,2,1,9,20,30,1.54,0.11,0.44,0.25,0.17,.,40.1,6.68,8.89,18.1,232,0.17,901,0.05,0,0,53,70,447,57,4.7
Frac_1,Normandin,48' 59'N 72' 32'O,2001,3,1,60,20,30,1.96,0.13,0.52,0.28,0.11,47.8,64.8,4.60,.,24.5,221,0.24,1538,0.04,2.14,3,30,55,294,23,4.62
Frac_1,Normandin,48' 59'N 72' 32'O,2001,4,1,21,20,30,1.59,0.13,0.49,0.29,0.17,51.9,.,6.61,9.43,18.1,247,0.26,2622,0.05,0.06,0.31,44,186,980,85,4.56
Frac_1,Normandin,48' 59'N 72' 32'O,2001,5,1,0,20,30,1.53,0.1,0.44,0.29,0.16,61.2,82.9,6.55,.,18.6,217,0.24,2805,0.09,0.95,0,87,121,717,62,4.63
Frac_1,Normandin,48' 59'N 72' 32'O,2001,6,1,45,20,30,1.7,0.13,0.5,0.27,0.17,41.5,35.6,4.88,8.29,20.3,227,0.28,4191,0.06,1.17,1.97,51,90,321,23,4.57
Frac_1,Normandin,48' 59'N 72' 32'O,2001,7,1,15,20,30,1.63,0.11,0.43,0.31,0.18,47.6,53.9,5.20,7.59,17.6,212,0.27,2627,0.07,0,0,44,77,470,44,4.73
Frac_1,Normandin,48' 59'N 72' 32'O,2001,8,1,0,0,0,1.79,0.12,0.49,0.29,0.16,41.3,67.9,6.56,9.34,19.0,213,0.25,910,0.09,2.6,3.99,73,105,703,69,4.76
Frac_1,Normandin,48' 59'N 72' 32'O,2001,9,1,15,20,30,1.7,0.11,0.48,0.28,0.16,39.7,44.3,5.04,6.88,15.0,212,0.29,1813,0.05,5.55,6.2,180,179,1048,91,4.32
Frac_1,Normandin,48' 59'N 72' 32'O,2001,10,1,90,20,30,1.88,0.13,0.5,0.29,0.17,54.8,39.0,4.95,9.92,23.4,203,0.15,2697,0.09,0.56,3.13,129,101,437,37,4.42
Frac_1,Normandin,48' 59'N 72' 32'O,2001,11,1,30,20,30,2.16,0.15,0.54,0.34,0.15,53.2,59.4,4.31,.,25.3,216,0.29,2677,0.03,.,.,193,53,273,22,4.72
Frac_1,Normandin,48' 59'N 72' 32'O,2001,12,1,21,20,30,1.79,0.15,0.57,0.34,0.18,47.1,56.9,4.70,8.35,20.7,211,0.21,3786,0.03,0.08,0,176,97,551,46,4.71
Frac_1,Normandin,48' 59'N 72' 32'O,2001,13,2,0,0,0,1.63,0.11,0.47,0.33,0.14,51.2,65.6,5.63,6.67,14.4,218,0.25,1158,0.09,0.77,5.44,89,80,221,21,4.73
Frac_1,Normandin,48' 59'N 72' 32'O,2001,14,2,90,20,30,2.13,0.19,0.53,0.28,0.16,50.0,43.6,3.81,10.41,.,218,0.23,1619,0.09,0,2.1,103,194,373,25,4.1
Frac_1,Normandin,48' 59'N 72' 32'O,2001,15,2,15,20,30,1.77,0.12,0.52,0.29,0.14,60.2,45.9,5.94,6.57,19.8,200,0.14,1073,0.05,0.39,0.16,48,61,114,13,4.87
Frac_1,Normandin,48' 59'N 72' 32'O,2001,16,2,30,20,30,1.89,0.14,0.52,0.34,0.12,41.9,94.4,4.48,8.82,22.5,209,0.20,2363,0.06,0.91,0.33,101,141,447,45,4.86
Frac_1,Normandin,48' 59'N 72' 32'O,2001,17,2,21,20,30,1.51,0.09,0.46,0.26,0.14,37.0,49.2,5.37,8.28,17.2,191,0.31,5307,0.08,0,0.85,54,220,317,35,4.11
Frac_1,Normandin,48' 59'N 72' 32'O,2001,18,2,21,20,30,1.89,0.14,0.63,0.34,0.15,43.6,94.1,4.67,8.76,18.7,206,0.27,4651,0.08,0.61,0.86,82,113,552,47,4.46
Frac_1,Normandin,48' 59'N 72' 32'O,2001,19,2,30,20,30,1.73,0.12,0.49,0.34,0.17,52.7,54.4,5.33,6.94,18.7,204,0.19,1667,0.08,0,0.9,71,96,467,42,4.59
Frac_1,Normandin,48' 59'N 72' 32'O,2001,20,2,15,20,30,1.59,0.11,0.52,0.3,0.15,39.8,71.4,5.20,7.85,16.7,203,0.22,3367,0.06,0,0.07,72,115,372,31,4.55
Frac_1,Normandin,48' 59'N 72' 32'O,2001,21,2,0,20,30,1.59,0.11,0.48,0.31,0.16,49.4,72.0,5.72,7.52,16.6,211,0.26,1292,0.09,0.01,0.16,67,120,316,41,4.61
Frac_1,Normandin,48' 59'N 72' 32'O,2001,22,2,60,20,30,1.66,0.13,0.51,0.27,0.14,47.1,55.8,4.70,8.47,20.5,198,0.15,916,0.07,0.55,1.81,88,204,858,102,4.15
Frac_1,Normandin,48' 59'N 72' 32'O,2001,23,2,9,20,30,1.49,0.11,0.44,0.28,0.15,45.3,51.5,5.86,5.98,15.2,199,0.26,777,0.08,0.21,0.11,126,94,348,35,4.5
Frac_1,Normandin,48' 59'N 72' 32'O,2001,24,2,45,20,30,1.68,0.13,0.56,0.28,0.17,46.6,48.7,4.27,7.55,14.8,207,0.27,870,0.09,0.55,0.43,110,86,643,33,4.76
Frac_1,Normandin,48' 59'N 72' 32'O,2001,25,3,45,20,30,1.77,0.13,0.52,0.34,0.13,46.0,69.8,4.56,7.21,16.7,191,0.18,1588,0.03,0.3,3.9,69,150,1205,68,4.15
Frac_1,Normandin,48' 59'N 72' 32'O,2001,26,3,30,20,30,1.75,0.1,0.54,0.36,0.17,42.2,62.2,5.02,7.37,16.2,208,0.31,3133,0.06,0.64,1.88,50,85,215,25,4.57
Frac_1,Normandin,48' 59'N 72' 32'O,2001,27,3,0,20,30,1.53,0.1,0.46,0.26,0.18,44.5,71.5,6.31,7.26,15.6,217,0.19,.,0.1,1.01,0.91,81,128,404,42,4.79
Frac_1,Normandin,48' 59'N 72' 32'O,2001,28,3,0,0,0,1.66,0.11,0.49,0.34,0.15,43.5,.,6.65,7.70,16.1,.,0.27,1667,0.07,0,0.13,77,97,344,45,4.98
Frac_1,Normandin,48' 59'N 72' 32'O,2001,29,3,30,20,30,1.67,0.11,0.46,0.27,0.15,37.8,39.9,4.45,8.19,17.8,198,0.20,.,0.08,1.64,2.45,117,101,428,50,4.53
Frac_1,Normandin,48' 59'N 72' 32'O,2001,30,3,21,20,30,1.75,0.13,0.54,0.29,0.14,34.4,48.8,4.95,7.28,15.0,196,0.28,.,0.05,0.59,1.99,80,87,625,62,4.75
Frac_1,Normandin,48' 59'N 72' 32'O,2001,31,3,9,20,30,1.6,0.12,0.51,0.29,0.16,45.2,52.6,5.07,8.29,15.9,196,0.16,3413,0.08,0.46,0.74,160,70,244,34,4.93
Frac_1,Normandin,48' 59'N 72' 32'O,2001,32,3,90,20,30,2.23,0.15,0.64,0.37,0.15,42.4,52.3,3.10,8.94,23.3,190,0.21,2879,0.05,0.05,3.72,52,85,297,28,4.87
Frac_1,Normandin,48' 59'N 72' 32'O,2001,33,3,15,20,30,1.65,0.11,0.49,0.34,0.18,41.0,46.9,5.42,8.20,14.9,196,0.19,1741,0.07,1.71,2.5,66,201,1291,160,4.75
Frac_1,Normandin,48' 59'N 72' 32'O,2001,34,3,21,20,30,1.66,0.12,0.49,0.29,0.18,38.9,37.1,5.18,8.81,18.2,199,0.26,.,0.05,0.86,2,50,102,779,92,4.58
Frac_1,Normandin,48' 59'N 72' 32'O,2001,35,3,60,20,30,1.7,0.14,0.57,0.27,0.16,45.6,41.8,4.14,8.12,18.6,200,0.28,1024,0.06,0.67,2.17,69,37,112,8,4.3
Frac_1,Normandin,48' 59'N 72' 32'O,2001,36,3,15,20,30,1.64,0.11,0.51,0.34,0.14,44.2,49.3,4.71,7.56,15.5,203,0.20,1491,0.07,0.93,1.99,218,42,260,23,4.64
Frac_1,Normandin,48' 59'N 72' 32'O,2001,37,4,15,20,30,1.71,0.11,0.54,0.46,0.14,45.4,64.5,6.19,6.96,15.6,186,0.25,1090,0.09,1.56,2.56,165,76,390,29,4.57
Frac_1,Normandin,48' 59'N 72' 32'O,2001,38,4,15,20,30,1.76,0.13,0.56,0.35,0.18,42.8,57.0,5.68,8.64,14.6,202,0.18,2477,0.09,1.52,2.9,160,148,797,72,4.48
Frac_1,Normandin,48' 59'N 72' 32'O,2001,39,4,21,20,30,1.65,0.13,0.53,0.28,0.18,46.3,.,5.19,7.27,18.3,229,0.26,1285,0.08,0.36,0,169,80,121,13,4.9
Frac_1,Normandin,48' 59'N 72' 32'O,2001,40,4,0,20,30,1.48,0.11,0.54,0.31,0.13,36.8,63.2,6.03,6.62,15.5,196,0.22,3153,0.09,0.76,0.63,226,76,216,25,4.66
Frac_1,Normandin,48' 59'N 72' 32'O,2001,41,4,45,20,30,1.88,0.14,0.57,0.31,0.14,37.5,52.4,4.46,8.31,18.2,191,0.16,.,0.05,0.4,0.36,96,298,1222,102,4.16
Frac_1,Normandin,48' 59'N 72' 32'O,2001,42,4,9,20,30,1.51,0.11,0.49,0.26,0.15,45.7,50.2,5.29,8.12,16.3,191,0.22,3221,0.06,0.72,0,83,69,71,12,4.65
